video_id,comment
MGWYD4KBZpQ,Ukraine not a country Ukraine poland are russian part😊😊😊
MGWYD4KBZpQ,I love make in india 🇮🇳😘😘😘😘
MGWYD4KBZpQ,You will not show ur map of india because otherwise you will be banned in india. This shows France is not a friend of India. Indians are actually naive to understand french hypocritical designs. I hope someday indians will understand that france and french dont like Indians. They consider india a 3rd class country
MGWYD4KBZpQ,Imagine how many toilets that could be built with that money.😁
MGWYD4KBZpQ,Fnck France..india is sovereign and it has landscape from full kasmir to kanyakumari
MGWYD4KBZpQ,Is France24 challenging India's sovereignty and territorial integrity by distorting the Map?
MGWYD4KBZpQ,Use the correct map of India
MGWYD4KBZpQ,Show the correct map of india j&k is part of India
MGWYD4KBZpQ,"Buy things from the west, Israel, Russia and even China and then put a “made in India” tag on..,"
MGWYD4KBZpQ,"India, first world ambitions, third world mentality!!!"
MGWYD4KBZpQ,"Make in India means buying Tata Nanos!! Indian-made arms are third-rate, not nearly as good as anything produced in the west, and Indians need to stop deluding themselves that their weapons will be as good western kit within any decent timespan. That is the reality, and  it's also why India continues to buy superior French aircraft, superior Israeli small arms, but also foolishly continues to buy third-rate Russian armour!"
MGWYD4KBZpQ,Who will buy Indian trash 😂😂😂
MGWYD4KBZpQ,Show the full and currect map of India 🤝😌
MGWYD4KBZpQ,"India is going to doninate in Military equipment? 

You mean the same way it dominates in...

1) IT Hardware
2) Batteries
3) Semiconductors
4) EVs
5) Healthcare
6) AI
7) Infrastructure Development
8) Non-Corruption
9) Finance
10) R&D

???

Wow! Hooray!"
MGWYD4KBZpQ,Use full map of India. J&K is part of our country. If you are friend of India then act like a friend. These things are very emotional for our country.
MGWYD4KBZpQ,Use correct map of india
MGWYD4KBZpQ,"Congratulation, the BRAIN BEHIND THE SCENE...NEVER STOP NEVER GIVE UP...JAI HIND 💪🇮🇳💪"
MGWYD4KBZpQ,"""seeks to"" nailed it perfectly, it's been the case for decades"
MGWYD4KBZpQ,India needs to spend more on R&D
MGWYD4KBZpQ,Bloody french put correct map
7jQYRdoV9RQ,"Overall, India is creating good quality products at lower prices! What do we need in India next? I say Reece’s Peanut Butter Cups and Five Guys!"
7jQYRdoV9RQ,What about food safety and health risk. ? Quality used.
7jQYRdoV9RQ,Where scammers payback office??
7jQYRdoV9RQ,Bruh demote US and promote india😂😂
7jQYRdoV9RQ,cocacola zero in india is scam... just boil the both...and find the truth
7jQYRdoV9RQ,indian products have more harmful chemicals and palm oil and sugar
7jQYRdoV9RQ,Are you pew di pie
